Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.1	0.0	-0.1	-0.1	208.47368	0.15168566	0.00273105	0.15505391	0.14585635	5000	-7.599592e-08	0.03175016	-0.0060916035	-0.029484719	0.918938	0.017357312	0.21059999	4.0	2.478334426879883
1	-0.1	0.0	-0.1	-0.1	441.125	-0.020309657	0.008093654	-0.008635204	-0.033191897	10000	2.0861625e-08	0.00048614186	-0.0043173805	-1.7094822e-05	0.91932935	0.006919781	0.0826	79.0	7.132194757461548
2	-0.1	0.0	-0.1	-0.1	424.77777	-0.016884943	0.007681183	-0.0041393265	-0.030627802	15000	5.9604646e-09	0.00055496645	-0.004255901	-1.9450532e-05	0.92183495	0.008140547	0.0782	79.0	11.817606925964355
3	-0.08	0.04	0.0	-0.1	768.4	-0.012593108	0.0042114295	-0.0051378757	-0.023689013	20000	7.450581e-09	0.00034636562	-0.0027326779	-4.436079e-05	0.9041489	0.0044630403	0.0528	79.0	16.542856216430664
4	-0.1	0.0	-0.1	-0.1	373.375	-0.008485678	0.011014971	0.011622839	-0.026216365	25000	0.0	0.0006503751	-0.004147282	-0.00011125011	0.8953846	0.015622166	0.261	4.0	18.753085613250732
5	-0.1	0.0	-0.1	-0.1	554.5	-0.014826437	0.0051812916	-0.0039996766	-0.023919377	30000	7.450581e-09	0.00048271922	-0.003541334	-6.0931714e-05	0.89529455	0.0045422353	0.059600003	79.0	23.38832974433899
6	-0.087500006	0.03307189	0.0	-0.1	481.25	-0.016127855	0.0040860604	-0.010119017	-0.025124494	35000	-4.4703485e-09	0.00049747445	-0.0041448874	-6.795516e-05	0.8944003	0.0065557184	0.056599997	79.0	28.02312922477722
7	-0.1	0.0	-0.1	-0.1	487.0	-0.006215419	0.008099233	0.00433746	-0.020052794	40000	1.4901161e-08	0.0005376468	-0.0058496133	-0.000103277016	0.9038168	0.007496313	0.1066	79.0	32.985557317733765
8	-0.087500006	0.03307189	0.0	-0.1	441.875	-0.016293244	0.0044713467	-0.005136762	-0.026530974	45000	0.0	0.0005220421	-0.0045739682	-7.7408156e-05	0.8968007	0.017206158	0.2388	4.0	35.16405916213989
9	0.38	0.5075431	1.0	-0.1	745.0	-0.017600227	0.0077207116	-0.0009470135	-0.03158167	50000	7.450581e-09	0.02160953	-0.00333229	-0.0040211543	0.89666003	0.018200893	0.3018	3.0	37.39482927322388
10	0.14444444	0.4573137	1.0	-0.1	399.8889	0.05438373	0.065015115	0.1601711	-0.06416088	55000	1.7881394e-08	0.022245917	0.0016260415	-0.002652319	0.896529	0.01713468	0.26360002	3.0	39.64150834083557
11	0.046666663	0.3739281	1.0	-0.1	300.73334	0.030433929	0.027777398	0.07257682	-0.016473696	60000	1.1920929e-08	0.02043283	-0.0037168413	-0.0006913693	0.8961013	0.008582656	0.1012	79.0	44.36541771888733
12	-0.10000001	7.450581e-09	-0.1	-0.1	325.64285	0.009540032	0.017697489	0.049009554	-0.028597664	65000	2.3841858e-08	0.0024133448	-0.0057691205	-0.0017033443	0.88680047	0.0049635256	0.069	79.0	49.08690428733826
13	-0.1	0.0	-0.1	-0.1	332.18182	-0.027215632	0.0037475256	-0.023627806	-0.03504091	70000	6.7055224e-09	0.00059800385	-0.0038858578	-3.6008005e-05	0.8794516	0.005576356	0.0622	79.0	54.03937816619873
14	-0.1	0.0	-0.1	-0.1	435.125	-0.024594838	0.0061717015	-0.014025629	-0.034015425	75000	-1.4901161e-09	0.0005590621	-0.0037672445	-5.6488112e-05	0.8776537	0.004958629	0.0778	79.0	58.643333196640015
15	0.2	0.48989797	1.0	-0.1	380.63635	-0.021242663	0.0052801417	-0.013629854	-0.029945873	80000	0.0	0.0333267	-0.0035158203	-0.005589676	0.87787926	0.007098152	0.07	79.0	63.333930015563965
16	0.022222217	0.34569666	1.0	-0.1	397.55554	0.02181857	0.02916789	0.09708245	-0.039205138	85000	0.0	0.009974748	-0.0016229391	-0.0008469629	0.86992186	0.003239834	0.0382	79.0	68.32823419570923
17	-0.099999994	7.450581e-09	-0.1	-0.1	367.22223	0.004486689	0.05923807	0.115253985	-0.07190895	90000	-5.9604646e-09	0.005066608	-0.005756258	-0.0045332797	0.87495536	0.008526289	0.0774	79.0	73.06366753578186
18	0.22999999	0.50408334	1.0	-0.1	393.0	-0.022552814	0.0094129965	-0.010075245	-0.05209501	95000	0.0	0.03314238	-0.004597275	-0.008500731	0.8876003	0.006155131	0.0778	79.0	77.98492097854614
19	0.099999994	0.42426407	1.0	-0.1	351.63635	0.022713156	0.07119249	0.1540147	-0.07288909	100000	-1.7881394e-08	0.014985554	-0.004181125	-0.00017403121	0.8648903	0.005049917	0.0636	79.0	82.71661639213562
20	0.02222222	0.34569666	1.0	-0.1	473.1111	0.04281879	0.04892473	0.120438166	-0.08631805	105000	-5.9604646e-09	0.011865723	-0.004753519	-0.0032498748	0.85615236	0.0059876987	0.049599998	79.0	87.24602818489075
21	0.5111111	0.54659444	1.0	-0.1	421.44446	-0.013859075	0.0602288	0.12614012	-0.103026696	110000	2.9802323e-09	0.04538924	-0.0038455694	-0.011540535	0.8378376	0.006896718	0.0968	79.0	91.9922788143158
22	0.39999998	0.5477226	1.0	-0.1	346.45456	0.10278276	0.11869166	0.32840976	-0.09074654	115000	5.9604646e-09	0.036333945	-0.0024562427	-0.006134948	0.8305996	0.0039788163	0.033200003	79.0	96.91276502609253
23	0.099999994	0.42426407	1.0	-0.1	336.36365	0.0442829	0.09296765	0.21923766	-0.10174665	120000	-5.9604646e-09	0.022505676	-0.0024533458	-0.0048174825	0.8326839	0.0049708365	0.065799996	79.0	101.5584602355957
24	0.022222219	0.34569666	1.0	-0.1	452.55554	0.012731561	0.052996736	0.1839211	-0.04128875	125000	-1.4901161e-09	0.011376328	-0.0048314417	-0.0012474114	0.8180677	0.012038542	0.14500001	79.0	106.4197998046875
25	-2.7093021e-09	0.31622776	1.0	-0.1	343.27274	-0.0036388652	0.040179234	0.06874053	-0.057269208	130000	0.0	0.010452815	-0.0030531571	-0.0005567735	0.80360556	0.004355704	0.051	79.0	111.05714583396912
26	0.325	0.5238082	1.0	-0.1	512.0	-0.015399849	0.034343157	0.085467815	-0.043788638	135000	2.0861625e-08	0.024853986	-0.0028536066	-0.010794026	0.7959875	0.005250444	0.0558	79.0	115.7579619884491
27	0.02	0.3280244	1.0	-0.1	377.4	0.070432045	0.08751242	0.32433417	-0.010531992	140000	2.682209e-08	0.013714634	-0.0023900599	-0.0074355504	0.8059572	0.004965945	0.023	79.0	120.51866722106934
28	0.022222217	0.34569666	1.0	-0.1	403.33334	0.059495386	0.08668113	0.2821771	-0.086264476	145000	3.576279e-08	0.016722621	-0.0029337883	-0.0068547814	0.79821616	0.00551276	0.04	79.0	125.20886468887329
